Datum,Posledna Transakcija,Maksimum,Minimum,Prosechna,Kolicina,Total
2023-11-03,17700.0,17900.0,17700.0,17789.66,-0.53,211.0
2023-11-03,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-02,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-02,17900.0,17900.0,17850.0,17884.93,-0.08,46.0
2023-11-01,17900.0,17900.0,17900.0,17900.0,-0.32,6.0
2023-11-01,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-31,17900.0,18000.0,17900.0,17957.26,-0.15,100.0
2023-10-31,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-30,17901.0,18000.0,17901.0,17984.78,-0.35,136.0
2023-10-30,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-27,18000.0,18051.0,18000.0,18048.6,0.13,162.0
2023-10-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-26,17900.0,18100.0,17900.0,18025.69,0.14,101.0
2023-10-26,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-25,18000.0,18000.0,18000.0,18000.0,0.04,36.0
2023-10-25,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-24,17850.0,18010.0,17850.0,17992.6,-0.13,88.0
2023-10-24,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-20,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-20,18099.0,18099.0,18000.0,18015.35,-1.56,185.0
2023-10-19,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-19,18300.0,18300.0,18300.0,18300.0,1.64,5.0
2023-10-18,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-18,18000.0,18100.0,18000.0,18005.12,0.58,316.0
2023-10-17,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-17,18000.0,18000.0,17800.0,17901.71,0.53,143.0
2023-10-16,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-16,17801.0,17900.0,17760.0,17807.26,0.31,99.0
2023-10-13,17750.0,17850.0,17712.0,17752.2,0.25,305.0
2023-10-13,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-12,17720.0,17850.0,17702.0,17708.15,0.05,27.0
2023-10-10,17700.0,17702.0,17700.0,17700.11,-0.01,170.0
2023-10-10,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-09,17700.0,17747.0,17680.0,17701.27,0.01,125.0
2023-10-09,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-06,17747.0,17747.0,17650.0,17699.04,0.43,252.0
2023-10-06,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-05,1000.0,1000.0,1000.0,1000.0,15.61,100.0
2023-10-05,17603.0,17650.0,17600.0,17622.72,-0.02,80.0
2023-10-04,17650.0,17700.0,17550.0,17626.98,0.16,61.0
2023-10-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-10-03,865.0,0.0,0.0,865.0,0.0,0.0
2023-10-03,17600.0,17600.0,17599.0,17599.06,0.19,53.0
2023-10-02,865.0,0.0,0.0,865.0,0.0,0.0
2023-10-02,17400.0,17600.0,17400.0,17564.86,-0.13,37.0
2023-09-29,17600.0,17600.0,17500.0,17587.5,0.49,16.0
2023-09-29,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-28,17500.0,0.0,0.0,17501.33,0.0,0.0
2023-09-28,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-27,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-27,17500.0,17502.0,17500.0,17501.33,-0.07,75.0
2023-09-26,17400.0,17550.0,17400.0,17514.13,-0.37,46.0
2023-09-26,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-25,17600.0,17600.0,17550.0,17578.57,-0.08,35.0
2023-09-22,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-22,17700.0,17700.0,17550.0,17592.86,0.47,21.0
2023-09-21,17600.0,17600.0,17499.0,17510.1,0.08,197.0
2023-09-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-20,17499.0,17500.0,17400.0,17495.98,0.02,227.0
2023-09-20,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-19,17500.0,17500.0,17400.0,17493.35,0.83,60.0
2023-09-19,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-18,17352.0,17352.0,17300.0,17349.39,-0.12,183.0
2023-09-15,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-15,17351.0,17500.0,17350.0,17369.98,0.1,47.0
2023-09-14,17350.0,17360.0,17350.0,17351.81,-0.82,37.0
2023-09-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-13,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-13,17500.0,17500.0,17487.0,17494.54,0.82,209.0
2023-09-12,17500.0,17500.0,17300.0,17353.09,0.1,81.0
2023-09-12,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-11,17350.0,17350.0,17300.0,17335.71,0.06,45.0
2023-09-11,865.0,0.0,0.0,865.0,0.0,0.0
